KO,metabolism
K00184,sulfur metabolism
K00185,sulfur metabolism
K00299,sulfur metabolism
K00380,sulfur metabolism
K00381,sulfur metabolism
K00385,sulfur metabolism
K00386,sulfur metabolism
K00387,sulfur metabolism
K00390,sulfur metabolism
K00392,sulfur metabolism
K00394,sulfur metabolism
K00395,sulfur metabolism
K00640,sulfur metabolism
K00641,sulfur metabolism
K00651,sulfur metabolism
K00860,sulfur metabolism
K00955,sulfur metabolism
K00956,sulfur metabolism
K00957,sulfur metabolism
K00958,sulfur metabolism
K00988,sulfur metabolism
K01011,sulfur metabolism
K01082,sulfur metabolism
K01738,sulfur metabolism
K01739,sulfur metabolism
K02045,sulfur metabolism
K02046,sulfur metabolism
K02047,sulfur metabolism
K02048,sulfur metabolism
K02439,sulfur metabolism
K03119,sulfur metabolism
K04091,sulfur metabolism
K05301,sulfur metabolism
K05907,sulfur metabolism
K05908,sulfur metabolism
K06881,sulfur metabolism
K07306,sulfur metabolism
K07307,sulfur metabolism
K07308,sulfur metabolism
K08352,sulfur metabolism
K08353,sulfur metabolism
K08354,sulfur metabolism
K08357,sulfur metabolism
K08358,sulfur metabolism
K08359,sulfur metabolism
K10150,sulfur metabolism
K10764,sulfur metabolism
K10831,sulfur metabolism
K11180,sulfur metabolism
K11181,sulfur metabolism
K13034,sulfur metabolism
K13811,sulfur metabolism
K15422,sulfur metabolism
K15551,sulfur metabolism
K15552,sulfur metabolism
K15553,sulfur metabolism
K15554,sulfur metabolism
K15555,sulfur metabolism
K15759,sulfur metabolism
K15762,sulfur metabolism
K15765,sulfur metabolism
K16936,sulfur metabolism
K16937,sulfur metabolism
K16950,sulfur metabolism
K16951,sulfur metabolism
K16952,sulfur metabolism
K16953,sulfur metabolism
K16954,sulfur metabolism
K16955,sulfur metabolism
K16964,sulfur metabolism
K16965,sulfur metabolism
K16966,sulfur metabolism
K16967,sulfur metabolism
K16968,sulfur metabolism
K16969,sulfur metabolism
K17069,sulfur metabolism
K17217,sulfur metabolism
K17218,sulfur metabolism
K17219,sulfur metabolism
K17220,sulfur metabolism
K17221,sulfur metabolism
K17222,sulfur metabolism
K17223,sulfur metabolism
K17224,sulfur metabolism
K17225,sulfur metabolism
K17226,sulfur metabolism
K17227,sulfur metabolism
K17228,sulfur metabolism
K17229,sulfur metabolism
K17230,sulfur metabolism
K17285,sulfur metabolism
K17486,sulfur metabolism
K17725,sulfur metabolism
K17993,sulfur metabolism
K17994,sulfur metabolism
K17995,sulfur metabolism
K17996,sulfur metabolism
K20034,sulfur metabolism
K20035,sulfur metabolism
K20036,sulfur metabolism
K21307,sulfur metabolism
K21308,sulfur metabolism
K21309,sulfur metabolism
K21310,sulfur metabolism
K22470,sulfur metabolism
K22622,sulfur metabolism
K22966,sulfur metabolism
K23163,sulfur metabolism
K23304,sulfur metabolism
K00260,nitrogen metabolism
K00261,nitrogen metabolism
K00262,nitrogen metabolism
K00264,nitrogen metabolism
K00265,nitrogen metabolism
K00266,nitrogen metabolism
K00284,nitrogen metabolism
K00360,nitrogen metabolism
K00361,nitrogen metabolism
K00362,nitrogen metabolism
K00363,nitrogen metabolism
K00366,nitrogen metabolism
K00367,nitrogen metabolism
K00368,nitrogen metabolism
K00370,nitrogen metabolism
K00371,nitrogen metabolism
K00372,nitrogen metabolism
K00374,nitrogen metabolism
K00376,nitrogen metabolism
K00459,nitrogen metabolism
K00531,nitrogen metabolism
K00926,nitrogen metabolism
K01455,nitrogen metabolism
K01501,nitrogen metabolism
K01672,nitrogen metabolism
K01673,nitrogen metabolism
K01674,nitrogen metabolism
K01725,nitrogen metabolism
K01743,nitrogen metabolism
K01915,nitrogen metabolism
K01948,nitrogen metabolism
K02305,nitrogen metabolism
K02567,nitrogen metabolism
K02568,nitrogen metabolism
K02575,nitrogen metabolism
K02586,nitrogen metabolism
K02588,nitrogen metabolism
K02591,nitrogen metabolism
K03385,nitrogen metabolism
K04561,nitrogen metabolism
K05601,nitrogen metabolism
K10534,nitrogen metabolism
K10535,nitrogen metabolism
K10944,nitrogen metabolism
K10945,nitrogen metabolism
K10946,nitrogen metabolism
K15371,nitrogen metabolism
K15576,nitrogen metabolism
K15577,nitrogen metabolism
K15578,nitrogen metabolism
K15579,nitrogen metabolism
K15864,nitrogen metabolism
K15876,nitrogen metabolism
K15877,nitrogen metabolism
K17877,nitrogen metabolism
K18245,nitrogen metabolism
K18246,nitrogen metabolism
K19823,nitrogen metabolism
K20932,nitrogen metabolism
K20933,nitrogen metabolism
K20934,nitrogen metabolism
K20935,nitrogen metabolism
K22896,nitrogen metabolism
K22897,nitrogen metabolism
K22898,nitrogen metabolism
K22899,nitrogen metabolism
K26138,nitrogen metabolism
K26139,nitrogen metabolism
K00018,methane metabolism
K00024,methane metabolism
K00058,methane metabolism
K00093,methane metabolism
K00121,methane metabolism
K00122,methane metabolism
K00123,methane metabolism
K00124,methane metabolism
K00125,methane metabolism
K00126,methane metabolism
K00127,methane metabolism
K00148,methane metabolism
K00169,methane metabolism
K00170,methane metabolism
K00171,methane metabolism
K00172,methane metabolism
K00189,methane metabolism
K00192,methane metabolism
K00193,methane metabolism
K00194,methane metabolism
K00195,methane metabolism
K00196,methane metabolism
K00197,methane metabolism
K00198,methane metabolism
K00200,methane metabolism
K00201,methane metabolism
K00202,methane metabolism
K00203,methane metabolism
K00204,methane metabolism
K00205,methane metabolism
K00300,methane metabolism
K00317,methane metabolism
K00319,methane metabolism
K00320,methane metabolism
K00399,methane metabolism
K00400,methane metabolism
K00401,methane metabolism
K00402,methane metabolism
K00440,methane metabolism
K00441,methane metabolism
K00442,methane metabolism
K00443,methane metabolism
K00577,methane metabolism
K00578,methane metabolism
K00579,methane metabolism
K00580,methane metabolism
K00581,methane metabolism
K00582,methane metabolism
K00583,methane metabolism
K00584,methane metabolism
K00600,methane metabolism
K00625,methane metabolism
K00672,methane metabolism
K00830,methane metabolism
K00831,methane metabolism
K00850,methane metabolism
K00863,methane metabolism
K00918,methane metabolism
K00925,methane metabolism
K01007,methane metabolism
K01070,methane metabolism
K01079,methane metabolism
K01086,methane metabolism
K01499,methane metabolism
K01595,methane metabolism
K01622,methane metabolism
K01623,methane metabolism
K01624,methane metabolism
K01689,methane metabolism
K01834,methane metabolism
K01895,methane metabolism
K02203,methane metabolism
K02446,methane metabolism
K03388,methane metabolism
K03389,methane metabolism
K03390,methane metabolism
K03396,methane metabolism
K03421,methane metabolism
K03422,methane metabolism
K03532,methane metabolism
K03533,methane metabolism
K03841,methane metabolism
K04041,methane metabolism
K04480,methane metabolism
K05299,methane metabolism
K05884,methane metabolism
K05979,methane metabolism
K06034,methane metabolism
K06914,methane metabolism
K07072,methane metabolism
K07144,methane metabolism
K07811,methane metabolism
K07812,methane metabolism
K07821,methane metabolism
K08093,methane metabolism
K08094,methane metabolism
K08097,methane metabolism
K08264,methane metabolism
K08265,methane metabolism
K08685,methane metabolism
K08691,methane metabolism
K08692,methane metabolism
K09733,methane metabolism
K10713,methane metabolism
K10714,methane metabolism
K10944,methane metabolism
K10945,methane metabolism
K10946,methane metabolism
K10977,methane metabolism
K10978,methane metabolism
K11212,methane metabolism
K11260,methane metabolism
K11261,methane metabolism
K11529,methane metabolism
K11532,methane metabolism
K11645,methane metabolism
K11779,methane metabolism
K11780,methane metabolism
K11781,methane metabolism
K12234,methane metabolism
K13039,methane metabolism
K13788,methane metabolism
K13812,methane metabolism
K13831,methane metabolism
K13942,methane metabolism
K14028,methane metabolism
K14029,methane metabolism
K14067,methane metabolism
K14080,methane metabolism
K14081,methane metabolism
K14082,methane metabolism
K14083,methane metabolism
K14084,methane metabolism
K14126,methane metabolism
K14127,methane metabolism
K14128,methane metabolism
K14940,methane metabolism
K14941,methane metabolism
K15022,methane metabolism
K15228,methane metabolism
K15229,methane metabolism
K15633,methane metabolism
K15634,methane metabolism
K15635,methane metabolism
K16157,methane metabolism
K16158,methane metabolism
K16159,methane metabolism
K16160,methane metabolism
K16161,methane metabolism
K16162,methane metabolism
K16176,methane metabolism
K16177,methane metabolism
K16178,methane metabolism
K16179,methane metabolism
K16254,methane metabolism
K16255,methane metabolism
K16256,methane metabolism
K16257,methane metabolism
K16258,methane metabolism
K16259,methane metabolism
K16260,methane metabolism
K16305,methane metabolism
K16306,methane metabolism
K16370,methane metabolism
K16792,methane metabolism
K16793,methane metabolism
K17066,methane metabolism
K17067,methane metabolism
K17068,methane metabolism
K17100,methane metabolism
K18277,methane metabolism
K18933,methane metabolism
K19793,methane metabolism
K21071,methane metabolism
K22015,methane metabolism
K22081,methane metabolism
K22082,methane metabolism
K22083,methane metabolism
K22084,methane metabolism
K22085,methane metabolism
K22086,methane metabolism
K22087,methane metabolism
K22305,methane metabolism
K22480,methane metabolism
K22481,methane metabolism
K22482,methane metabolism
K22515,methane metabolism
K22516,methane metabolism
K23995,methane metabolism
K24182,methane metabolism
K24393,methane metabolism
K24998,methane metabolism
K25123,methane metabolism
K25124,methane metabolism
K25528,methane metabolism
K04643,bacteriorhodopsin
K04641,bacteriorhodopsin
K21817,bacteriorhodopsin
K23306,bacteriorhodopsin
K04642,bacteriorhodopsin
K02259,oxidative phosphorylation
K02275,oxidative phosphorylation
K02276,oxidative phosphorylation
K02257,oxidative phosphorylation
K00406,oxidative phosphorylation
K00407,oxidative phosphorylation
K00404,oxidative phosphorylation
K00405,oxidative phosphorylation
K02297,oxidative phosphorylation
K02298,oxidative phosphorylation
K02299,oxidative phosphorylation
K02300,oxidative phosphorylation
K02297,oxidative phosphorylation
K02298,oxidative phosphorylation
K02299,oxidative phosphorylation
K02300,oxidative phosphorylation
K00425,oxidative phosphorylation
K00426,oxidative phosphorylation
K08738,oxidative phosphorylation
K01207,carbohydrate degradation
K01812,carbohydrate degradation
K05349,carbohydrate degradation
K01200,carbohydrate degradation
K06282,hydrogen metabolism
K01551,arsenic
K03892,arsenic
K17686,copper
K04759,iron
K02012,iron
K08356,arsenic metabolism
K08355,arsenic metabolism
K16180,mercury methylation